Student_ID,Full_Name,Gender,DOB,Phone,Program,Level,Intake_Year,Email,Campus_ID,Campus_Name,Source_Campus_File,Upload_Date
RPM20250992,Marie Uwase,Male,2004-02-06,797091863.0,Software Engineering,Level 4,2025,..marie.uwase..@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20220484,Emmanuel Kamanzi,Male,2003-06-24,788993885.0,Software Engineering,Level 4,2022,emmanuel.kamanzi@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20230510,Patrick Ntawukuriryayo,Male,2004-03-06,784734105.0,Information Technology,Level 4,2023,patrick.ntawukuriryayo@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20240511,Beatrice Uwamahoro,Female,2005-06-01,,Information Technology,Level 4,2024,beatrice.uwamahoro@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20240512,Claude Nshimiyimana,Unknown,1998-10-15,724981793.0,Computer Science,Level 5,2024,claude.nshimiyimana@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20240513,Marie Mukamana,Female,1998-09-07,722804789.0,Mechanical Engineering,Level 6,2024,marie.mukamana@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20250514,Jean Mutabazi,Female,2001-12-27,735086165.0,Electronics,Level 4,2025,jean.mutabazi@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20240515,Beatrice Ntawukuriryayo,Female,1999-10-14,728323136.0,Information Technology,Level 6,2024,beatrice.ntawukuriryayo@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20230516,Joseph Niyibizi,Unknown,2006-02-06,728374849.0,Software Engineering,Level 4,2023,joseph.niyibizi@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20240517,Grace Iradukunda,Unknown,2006-12-19,792210143.0,Computer Science,Level 4,2024,grace.iradukunda@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20240518,Diane Nshimiyimana,Male,2001-02-17,782397698.0,Computer Science,Level 6,2024,diane.nshimiyimana@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20240519,Diane Uwamahoro,Unknown,2001-03-12,722253664.0,Software Engineering,Level 6,2024,diane.uwamahoro@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20250520,Claude Mugisha,Female,2004-06-04,786339290.0,Software Engineering,Level 5,2025,claude.mugisha@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20250521,Francine Mugisha,Male,2000-03-07,739315003.0,Software Engineering,Level 6,2025,francine.mugisha@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20220522,Marie Ntawukuriryayo,Female,2002-07-02,792657173.0,Electronics,Level 4,2022,marie.ntawukuriryayo@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20220523,Emmanuel Uwase,Unknown,2004-01-25,792214618.0,Electronics,Level 6,2022,emmanuel.uwase@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20230524,Marie Nshimiyimana,Female,2004-04-02,796906129.0,Information Technology,Level 5,2023,..marie.nshimiyimana..@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20220525,Sarah Gasana,Unknown,1998-07-18,782563117.0,Civil Engineering,Level 6,2022,sarah.gasana@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20250526,Eric Mukamana,Female,1999-01-16,736502430.0,Information Technology,Level 5,2025,eric.mukamana@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20240527,Kevine Niyibizi,Male,1998-12-17,789008323.0,Software Engineering,Level 4,2024,kevine.niyibizi@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20250528,Alice Iradukunda,Male,2005-10-23,732140460.0,Software Engineering,Level 5,2025,alice.iradukunda@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20240529,Sarah Niyonzima,Female,1999-02-13,795206084.0,Software Engineering,Level 6,2024,sarah.niyonzima@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20250530,Sarah Ntawukuriryayo,Female,1998-05-21,734908128.0,Information Technology,Level 4,2025,..sarah.ntawukuriryayo..@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20220509,Patrick Mukamana,Unknown,2002-04-26,738174648.0,Computer Science,Level 4,2022,patrick.mukamana@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
RPM20240508,Joseph Nshimiyimana,Unknown,2004-07-19,,Electronics,Level 4,2024,joseph.nshimiyimana@rp.ac.rw,RPM,Rwanda Polytechnic Musanze,musanze/students.csv,2026-02-12 17:11:59
