Student_ID,Full_Name,Gender,DOB,Phone,Program,Level,Intake_Year,Email
RPH20220001,  Marie Uwamahoro  ,M,2001-04-05,0788078673,Civil Engineering,Level 6,2022,..marie.uwamahoro..@rp.ac.rw
RPH20250002,Emmanuel Mukamana,Female,2002-01-25,0736708456,Electronics,L6,2025,emmanuel.mukamana@rp.ac.rw
RPH20240003,Francine Gasana,M,2006-02-13,,Information Technology,L4,2024,francine.gasana@rp.ac.rw
RPH20230004,Sarah Mutabazi,f,2001-02-13,0723728882,MECHANICAL ENGINEERING,Level 6,2023,sarah.mutabazi@rp.ac.rw
RPH20230005,Marie Habimana,Female,2004-05-21,0796440561,Computer Science,Level 5,2023,marie.habimana@rp.ac.rw
RPH20240006,Aline Nshimiyimana,Female,2004-11-15,0795137722,Electronics,L5,2024,aline.nshimiyimana@rp.ac.rw
RPH20250007,Joseph Kamanzi,F,1999-03-21,0732065818,Civil Engineering,L4,2025,joseph.kamanzi@rp.ac.rw
RPH20220008,Emmanuel Nshimiyimana,f,2003-02-10,0731054447,Mechanical Engineering,Level 6,2022,emmanuel.nshimiyimana@rp.ac.rw
RPH20230009,Kevine Uwamahoro,Male,2000-09-25,0786438436,Software Engineering,L5,2023,kevine.uwamahoro@rp.ac.rw
RPH20220010,Emmanuel Nshimiyimana,F,1999-09-25,0733770370,Civil Engineering,Level 6,2022,emmanuel.nshimiyimana@rp.ac.rw
RPH20230011,  Claude Mutabazi  ,f,2003-08-17,0794769795,COMPUTER SCIENCE,Level 6,2023,..claude.mutabazi..@rp.ac.rw
RPH20220012,Patrick Nshimiyimana,Female,1998-06-03,0729143903,Electronics,Level 4,2022,patrick.nshimiyimana@rp.ac.rw
RPH20250013,Marie Kamanzi,Female,2004-06-14,0782651177,Information Technology,Level 4,2025,marie.kamanzi@rp.ac.rw
RPH20230014,Marie Mugisha,,2005-04-28,0732642635,Information Technology,Level 4,2023,marie.mugisha@rp.ac.rw
RPH20250015,Joseph Ntawukuriryayo,Female,1998-03-13,,Mechanical Engineering,Level 5,2025,joseph.ntawukuriryayo@rp.ac.rw
RPH20250016,Marie Uwamahoro,Male,2001-01-19,0786261415,INFORMATION TECHNOLOGY,Level 5,2025,marie.uwamahoro@rp.ac.rw
RPH20220017,  Marie Iradukunda  ,Male,1999-11-28,0785130808,Software Engineering,L5,2022,..marie.iradukunda..@rp.ac.rw
RPH20240018,Jean Uwase,Female,2000-11-21,0722217071,Civil Engineering,L6,2024,jean.uwase@rp.ac.rw
RPH20230019,Jean Mugisha,m,2001-06-10,0729874152,Information Technology,L4,2023,jean.mugisha@rp.ac.rw
RPH20230020,Kevine Ntawukuriryayo,f,2001-12-11,0729479356,Electronics,L4,2023,kevine.ntawukuriryayo@rp.ac.rw
RPH20220021,Diane Niyonzima,m,2002-03-24,0731162230,Computer Science,Level 5,2022,diane.niyonzima@rp.ac.rw
RPH20230022,Patrick Mugisha,,2002-06-26,0787003042,Electronics,Level 6,2023,patrick.mugisha@rp.ac.rw
RPH20230023,Alice Ntawukuriryayo,Female,2000-07-01,0727907400,Computer Science,L5,2023,alice.ntawukuriryayo@rp.ac.rw
RPH20230024,  Emmanuel Gasana  ,,2001-04-01,0736507321,Civil Engineering,Level 5,2023,..emmanuel.gasana..@rp.ac.rw
RPH20240025,Diane Iradukunda,M,2002-03-19,0721641849,Civil Engineering,L4,2024,diane.iradukunda@rp.ac.rw
RPH20250026,Beatrice Niyonzima,Female,2004-01-17,0797110622,Mechanical Engineering,Level 6,2025,beatrice.niyonzima@rp.ac.rw
RPH20240027,Beatrice Mugisha,f,2003-07-23,0794218542,Civil Engineering,Level 4,2024,beatrice.mugisha@rp.ac.rw
RPH20220028,Samuel Mugisha,f,2004-10-20,0738411939,Mechanical Engineering,L4,2022,samuel.mugisha@rp.ac.rw
RPH20240029,Jean Uwamahoro,m,2001-11-10,0793472189,Computer Science,Level 6,2024,jean.uwamahoro@rp.ac.rw
RPH20230030,Alice Mukamana,,2001-03-21,0788132769,Civil Engineering,L4,2023,alice.mukamana@rp.ac.rw
RPH20250031,Beatrice Gasana,Male,2006-09-20,0739468772,Electronics,L5,2025,beatrice.gasana@rp.ac.rw
RPH20240032,David Mutabazi,,2002-08-03,0795558623,Electronics,Level 6,2024,david.mutabazi@rp.ac.rw
RPH20230033,Joseph Tuyisenge,F,2003-09-15,0798048838,Civil Engineering,L4,2023,joseph.tuyisenge@rp.ac.rw
RPH20240034,ALICE NTAWUKURIRYAYO,f,2004-09-24,0799191131,Mechanical Engineering,Level 6,2024,alice.ntawukuriryayo@rp.ac.rw
RPH20230035,Beatrice Mukamana,,2006-01-13,0782408404,Software Engineering,L6,2023,beatrice.mukamana@rp.ac.rw
RPH20240036,Sarah Habimana,,2004-05-27,0781873851,Computer Science,L5,2024,sarah.habimana@rp.ac.rw
RPH20220037,Emmanuel Tuyisenge,Male,2005-11-04,0798801975,Mechanical Engineering,L5,2022,emmanuel.tuyisenge@rp.ac.rw
RPH20240038,Patrick Niyonzima,F,2002-10-22,0737654757,Mechanical Engineering,Level 6,2024,patrick.niyonzima@rp.ac.rw
RPH20220039,David Uwamahoro,M,2004-11-12,,Software Engineering,Level 4,2022,david.uwamahoro@rp.ac.rw
RPH20230040,Beatrice Gasana,,2006-11-09,0738799287,Computer Science,Level 4,2023,beatrice.gasana@rp.ac.rw
RPH20230041,Kevine Habimana,,2004-06-01,0724050766,Civil Engineering,L6,2023,kevine.habimana@rp.ac.rw
RPH20220042,  Samuel Tuyisenge  ,Female,2004-08-18,0739234615,Information Technology,Level 5,2022,..samuel.tuyisenge..@rp.ac.rw
RPH20240043,Emmanuel Ntawukuriryayo,,2003-07-24,0728612582,Computer Science,Level 6,2024,emmanuel.ntawukuriryayo@rp.ac.rw
RPH20230044,patrick ntawukuriryayo,Female,2005-05-24,0722686548,Civil Engineering,L4,2023,patrick.ntawukuriryayo@rp.ac.rw
RPH20220045,Francine Uwase,f,2000-11-28,0781205779,Software Engineering,Level 4,2022,francine.uwase@rp.ac.rw
RPH20220046,Francine Niyonzima,F,1999-10-21,0793503120,Civil Engineering,Level 5,2022,francine.niyonzima@rp.ac.rw
RPH20230047,Marie Iradukunda,,2005-05-28,0736123430,Mechanical Engineering,Level 6,2023,marie.iradukunda@rp.ac.rw
RPH20220048,Samuel Niyibizi,Male,2006-02-06,,Mechanical Engineering,Level 4,2022,samuel.niyibizi@rp.ac.rw
RPH20220049,  Eric Niyonzima  ,Female,2001-07-04,0795456573,Civil Engineering,Level 4,2022,..eric.niyonzima..@rp.ac.rw
RPH20220050,marie kamanzi,,2004-05-17,0732349590,Information Technology,Level 5,2022,marie.kamanzi@rp.ac.rw
RPH20220051,Beatrice Mugisha,f,2000-08-17,0724044882,Electronics,Level 6,2022,beatrice.mugisha@rp.ac.rw
RPH20220052,Claude Mutabazi,Male,2005-05-22,0788630712,Civil Engineering,L4,2022,claude.mutabazi@rp.ac.rw
RPH20250053,Patrick Ntawukuriryayo,,2006-06-20,0731865901,Mechanical Engineering,L4,2025,patrick.ntawukuriryayo@rp.ac.rw
RPH20230054,Diane Mugisha,Male,1998-09-14,0788741810,Civil Engineering,Level 4,2023,diane.mugisha@rp.ac.rw
RPH20250055,Emmanuel Tuyisenge,,2006-03-13,0792171218,Civil Engineering,L4,2025,emmanuel.tuyisenge@rp.ac.rw
RPH20240056,Aline Tuyisenge,f,2005-03-15,0726577416,Information Technology,L5,2024,aline.tuyisenge@rp.ac.rw
RPH20250057,Eric Uwase,Female,2004-01-11,0737477326,Software Engineering,Level 4,2025,eric.uwase@rp.ac.rw
RPH20220058,Kevine Tuyisenge,,,0792255409,Mechanical Engineering,L6,2022,kevine.tuyisenge@rp.ac.rw
RPH20250059,  Alice Niyibizi  ,m,2005-09-02,0795821419,Mechanical Engineering,Level 4,2025,..alice.niyibizi..@rp.ac.rw
RPH20230060,Sarah Mutabazi,f,1998-06-26,,Mechanical Engineering,L5,2023,sarah.mutabazi@rp.ac.rw
RPH20230061,samuel mugisha,F,2004-10-22,0794895475,Electronics,Level 6,2023,samuel.mugisha@rp.ac.rw
RPH20230062,Samuel Gasana,F,2003-10-10,0735195951,Computer Science,Level 5,2023,samuel.gasana@rp.ac.rw
RPH20240063,Marie Iradukunda,f,2002-01-27,0721135861,Information Technology,L6,2024,marie.iradukunda@rp.ac.rw
RPH20230064,Samuel Uwamahoro,Female,2000-11-04,0786183033,Software Engineering,Level 4,2023,samuel.uwamahoro@rp.ac.rw
RPH20230065,Emmanuel Gasana,Female,2006-06-17,0723760597,Software Engineering,Level 4,2023,emmanuel.gasana@rp.ac.rw
RPH20220066,Claude Tuyisenge,Male,2001-11-24,0737136687,Software Engineering,Level 6,2022,claude.tuyisenge@rp.ac.rw
RPH20240067,  Alice Mugisha  ,,2003-02-22,0786503032,Software Engineering,L4,2024,..alice.mugisha..@rp.ac.rw
RPH20230068,Samuel Mutabazi,M,2002-08-04,0797520395,Electronics,Level 6,2023,samuel.mutabazi@rp.ac.rw
RPH20230069,Sarah Habimana,,2005-10-14,0721548888,Computer Science,L6,2023,sarah.habimana@rp.ac.rw
