Student_ID,Full_Name,Gender,DOB,Phone,Program,Level,Intake_Year,Email
RPK20230001,Alice Mutabazi,M,2004-04-12,0794857977,Civil Engineering,L5,2023,alice.mutabazi@rp.ac.rw
RPK20220002,Benjamin Mutabazi,,2000-08-09,0732199660,Computer Science,L5,2022,benjamin.mutabazi@rp.ac.rw
RPK20230003,Grace Mutabazi,F,2003-04-17,0795634957,Civil Engineering,Level 4,2023,grace.mutabazi@rp.ac.rw
RPK20240004,Samuel Niyonzima,,2000-01-21,0799581653,Mechanical Engineering,Level 4,2024,samuel.niyonzima@rp.ac.rw
RPK20250005,Patrick Kamanzi,,2006-06-10,0793053613,Computer Science,Level 6,2025,patrick.kamanzi@rp.ac.rw
RPK20250006,Sarah Iradukunda,Male,1998-01-26,0728693303,Electronics,L6,2025,sarah.iradukunda@rp.ac.rw
RPK20250007,Samuel Uwase,M,1999-11-26,0799360034,Electronics,L6,2025,samuel.uwase@rp.ac.rw
RPK20250008,Benjamin Niyibizi,,2004-01-06,0796716143,Mechanical Engineering,L5,2025,benjamin.niyibizi@rp.ac.rw
RPK20240009,Sarah Niyonzima,F,2006-10-21,0738557835,Mechanical Engineering,Level 6,2024,sarah.niyonzima@rp.ac.rw
RPK20220010,Claude Ntawukuriryayo,Male,2003-01-27,0738225521,Computer Science,L4,2022,claude.ntawukuriryayo@rp.ac.rw
RPK20230011,Joseph Kamanzi,f,1998-08-27,0732347570,Software Engineering,Level 5,2023,joseph.kamanzi@rp.ac.rw
RPK20250012,  Marie Habimana  ,F,2005-07-01,0787309524,Civil Engineering,L5,2025,..marie.habimana..@rp.ac.rw
RPK20230013,Kevine Mutabazi,f,2004-08-13,0739639550,Information Technology,L4,2023,kevine.mutabazi@rp.ac.rw
RPK20250014,Emmanuel Iradukunda,,1999-04-21,0728395621,Computer Science,Level 6,2025,emmanuel.iradukunda@rp.ac.rw
RPK20220015,Joseph Niyibizi,M,2004-06-08,0725466227,Mechanical Engineering,L4,2022,joseph.niyibizi@rp.ac.rw
RPK20220016,Emmanuel Ntawukuriryayo,,1999-07-15,0793235810,Mechanical Engineering,L6,2022,emmanuel.ntawukuriryayo@rp.ac.rw
RPK20230017,  Eric Niyibizi  ,Female,2005-09-28,0728758995,Computer Science,L6,2023,..eric.niyibizi..@rp.ac.rw
RPK20220018,francine niyibizi,,2002-12-02,0788020261,Civil Engineering,L4,2022,francine.niyibizi@rp.ac.rw
RPK20250019,Joseph Kamanzi,M,2006-09-18,0787809172,Information Technology,Level 5,2025,joseph.kamanzi@rp.ac.rw
RPK20230020,Joseph Mutabazi,m,1999-11-05,0786205482,Computer Science,Level 6,2023,joseph.mutabazi@rp.ac.rw
RPK20230021,francine iradukunda,m,2001-03-15,0789320259,Electronics,Level 5,2023,francine.iradukunda@rp.ac.rw
RPK20250022,Jean Gasana,m,1999-12-01,0782549847,Electronics,Level 4,2025,jean.gasana@rp.ac.rw
