Student_ID,Full_Name,Gender,DOB,Phone,Program,Level,Intake_Year,Email
RPM20240001,  Aline Niyibizi  ,m,1998-12-24,0791331793,Information Technology,Level 6,2024,..aline.niyibizi..@rp.ac.rw
RPM20230002,Eric Mukamana,F,2004-03-26,0798886286,Civil Engineering,Level 6,2023,eric.mukamana@rp.ac.rw
RPM20240003,Diane Mutabazi,,2004-12-06,0797543248,Mechanical Engineering,L5,2024,diane.mutabazi@rp.ac.rw
RPM20250004,Joseph Mutabazi,,2005-01-01,0738000560,Civil Engineering,Level 5,2025,joseph.mutabazi@rp.ac.rw
RPM20230005,Alice Uwamahoro,Male,2001-06-25,0786660040,Civil Engineering,L5,2023,alice.uwamahoro@rp.ac.rw
RPM20250006,Eric Niyonzima,F,2005-09-09,0791805257,Information Technology,Level 5,2025,eric.niyonzima@rp.ac.rw
RPM20250007,Patrick Uwase,,2006-08-22,0781930184,Electronics,L6,2025,patrick.uwase@rp.ac.rw
RPM20220008,Grace Nshimiyimana,M,2004-12-22,,Civil Engineering,L5,2022,grace.nshimiyimana@rp.ac.rw
RPM20220009,Joseph Mugisha,M,1998-02-01,,Computer Science,L6,2022,joseph.mugisha@rp.ac.rw
RPM20240010,  JEAN MUTABAZI  ,,1998-02-17,0738677825,Electronics,Level 4,2024,..jean.mutabazi..@rp.ac.rw
RPM20240011,Samuel Kamanzi,f,2004-10-27,0781332242,Civil Engineering,L4,2024,samuel.kamanzi@rp.ac.rw
RPM20220012,Beatrice Habimana,f,2002-06-10,,Information Technology,Level 6,2022,beatrice.habimana@rp.ac.rw
RPM20250013,Grace Tuyisenge,m,2003-08-17,0799878478,Electronics,L5,2025,grace.tuyisenge@rp.ac.rw
RPM20250014,Beatrice Niyonzima,f,2003-09-26,0738002695,Civil Engineering,Level 5,2025,beatrice.niyonzima@rp.ac.rw
RPM20220015,Francine Mugisha,F,2006-03-19,,INFORMATION TECHNOLOGY,L6,2022,francine.mugisha@rp.ac.rw
RPM20240016,Kevine Iradukunda,Female,,0784037653,Information Technology,Level 6,2024,kevine.iradukunda@rp.ac.rw
RPM20230017,Emmanuel Ntawukuriryayo,,2005-05-03,,COMPUTER SCIENCE,Level 6,2023,emmanuel.ntawukuriryayo@rp.ac.rw
RPM20250018,  Joseph Iradukunda  ,F,1998-02-16,0739272689,Information Technology,Level 4,2025,..joseph.iradukunda..@rp.ac.rw
